"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.846159042E0,2.577639771E-1,-5.882916412E0,9.475296021E0
2.856184042E0,6.773414612E-1,-5.304818573E0,9.381441193E0
2.866210042E0,1.163829803E0,-4.233197021E0,8.763675842E0
2.876236042E0,1.029259644E0,-4.517455902E0,7.902067566E0
2.886261042E0,7.006929016E-1,-6.142776031E0,8.387657776E0
2.896287042E0,4.209246826E-1,-6.773264923E0,8.413404236E0
2.906313042E0,1.207389221E0,-5.378166046E0,8.132438507E0
2.916339042E0,1.896107025E0,-3.763922882E0,8.611741791E0
2.926364042E0,2.550097046E0,-2.693947906E0,9.593999176E0
2.936390042E0,3.493135986E0,-2.136357422E0,1.017104919E1
2.946416042E0,3.407963104E0,-1.953138428E0,1.037522461E1
2.956441042E0,2.108814697E0,-2.794239349E0,9.314230957E0
2.966467042E0,1.623074799E0,-3.321742401E0,8.079448700E0
2.976493042E0,2.219584351E0,-3.451073456E0,8.472381592E0
2.986518042E0,2.127825165E0,-3.792812805E0,8.925639038E0
2.996544042E0,2.120340729E0,-3.983516235E0,9.161099396E0
3.006570042E0,2.262245636E0,-4.123175812E0,9.270970917E0
3.016596042E0,2.132914581E0,-3.982169037E0,9.172176361E0
3.026621042E0,1.882934418E0,-3.716621246E0,8.824150085E0
3.036647042E0,1.761686554E0,-3.577261047E0,8.899593201E0
3.046673042E0,1.785936127E0,-3.488345947E0,8.975036316E0
3.056698042E0,1.915716248E0,-3.530109100E0,9.016799469E0
3.066724042E0,1.957629089E0,-3.608545990E0,8.947194214E0
3.076750042E0,2.045496368E0,-3.718417511E0,8.852590942E0
3.086776042E0,2.194436646E0,-3.668870544E0,8.875044250E0
3.096801042E0,2.292482758E0,-3.709885254E0,9.004524994E0
3.106827042E0,2.221081238E0,-3.642974396E0,8.983867950E0
3.116853042E0,2.229014740E0,-3.566034393E0,8.785530396E0
3.126878042E0,2.181264038E0,-3.580703888E0,8.712931366E0
3.136904042E0,2.174827423E0,-3.665427704E0,8.751850433E0
3.146930042E0,2.185305634E0,-3.731440430E0,8.802594910E0
3.156956042E0,2.146236877E0,-3.704945526E0,8.899144135E0
3.166981042E0,2.106269989E0,-3.626957703E0,8.959319000E0
3.177007042E0,2.103276215E0,-3.554807739E0,8.944948883E0
3.187033042E0,2.022743683E0,-3.637735291E0,8.916957092E0
3.197058042E0,2.036365356E0,-3.714974670E0,8.857680359E0
3.207084042E0,2.018851776E0,-3.743415527E0,8.879834290E0
3.217110042E0,1.994751892E0,-3.739673309E0,8.900191956E0
3.227135042E0,2.034868469E0,-3.194656677E0,8.856482849E0
3.237161042E0,1.793869629E0,-3.062481537E0,8.469088440E0
