"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.401332042E0,1.146005243E-1,-7.521544397E-2,-8.511292934E-1
3.411357042E0,1.111192405E-1,-2.401031852E-1,-7.646953464E-1
3.421383042E0,2.647483647E-1,-4.187485874E-1,-6.478812695E-1
3.431409042E0,3.882695138E-1,-5.052323341E-1,-5.961970091E-1
3.441434042E0,3.992072940E-1,-5.314404368E-1,-6.125618815E-1
3.451460042E0,3.108918071E-1,-6.073671579E-1,-6.979097724E-1
3.461486042E0,2.495924383E-1,-6.968162060E-1,-8.202561736E-1
3.471512042E0,2.129020840E-1,-6.794905066E-1,-8.391528726E-1
3.481537042E0,2.195929885E-1,-4.824502170E-1,-7.759227753E-1
3.491563042E0,2.541059554E-1,-3.621602952E-1,-8.045112491E-1
3.501589208E0,2.793069482E-1,-3.088102341E-1,-8.415269256E-1
3.511614208E0,2.026459575E-1,-2.768475115E-1,-8.505427837E-1
3.521640208E0,8.458812535E-2,-2.648794949E-1,-7.764161825E-1
3.531666208E0,6.907716859E-3,-1.939193159E-1,-7.179552317E-1
3.541692208E0,2.339044586E-2,-1.426089704E-1,-7.278805375E-1
3.551717208E0,8.691775054E-2,-1.664352119E-1,-7.505562901E-1
3.561743208E0,1.108663529E-1,-1.786358804E-1,-7.570546269E-1
3.571769208E0,6.094140187E-2,-2.151819021E-1,-7.899595499E-1
3.581794208E0,5.167065561E-2,-1.699025184E-1,-7.711907029E-1
3.591820208E0,9.487245232E-2,-1.363759786E-1,-7.454528809E-1
3.601846208E0,1.340389103E-1,-1.988455802E-1,-7.470904589E-1
3.611872208E0,1.559769660E-1,-2.020674646E-1,-7.621511817E-1
3.621897208E0,1.969971210E-1,-1.619147956E-1,-7.553237677E-1
3.631923208E0,2.796030641E-1,-2.402181178E-1,-7.671023607E-1
3.641949208E0,3.426138759E-1,-2.522052824E-1,-7.694569230E-1
3.651974208E0,3.889757693E-1,-3.101463318E-1,-7.842134833E-1
3.662000208E0,4.139320254E-1,-3.986041844E-1,-8.076332211E-1
3.672026208E0,4.558682740E-1,-4.513411820E-1,-8.357226253E-1
3.682051208E0,5.546015501E-1,-6.138919592E-1,-8.752778172E-1
3.692077208E0,6.556857824E-1,-7.725161910E-1,-9.155147076E-1
3.702103208E0,7.053079605E-1,-9.825862050E-1,-9.253746271E-1
3.712129208E0,7.290812135E-1,-1.075844169E0,-8.499009013E-1
3.722154208E0,8.257416487E-1,-1.083982468E0,-8.141714334E-1
3.732180208E0,8.227797151E-1,-1.317821622E0,-7.807906270E-1
3.742206208E0,5.638812184E-1,-1.200466752E0,-6.791744232E-1
3.752231208E0,4.935550690E-1,-9.092147350E-1,-6.133165359E-1
3.762257208E0,3.062090278E-1,-5.920580029E-1,-4.803604782E-1
3.772283208E0,1.244136542E-1,-3.942586184E-1,-3.889836967E-1
3.782309208E0,4.295439646E-2,-2.057742327E-1,-2.907550931E-1
