"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.787075024E2,1.746567993E0,-5.176385651E0,3.243155823E0
1.787175284E2,1.619332581E0,-5.030738525E0,2.903961182E0
1.787275544E2,1.535057831E0,-4.918022919E0,2.855312347E0
1.787375804E2,1.677411804E0,-4.828209686E0,2.930456085E0
1.787476064E2,1.892664185E0,-5.503006439E0,3.372636566E0
1.787576324E2,2.228715363E0,-6.482868805E0,3.602857819E0
1.787676584E2,2.476899261E0,-7.212900696E0,4.346062317E0
1.787776844E2,2.165696411E0,-7.536078644E0,5.765111389E0
1.787877104E2,2.143542480E0,-7.536378021E0,7.042405243E0
1.787977364E2,2.138453064E0,-7.731721802E0,7.746241608E0
1.788077624E2,1.506317596E0,-8.334218903E0,7.816146240E0
1.788177884E2,8.116122437E-1,-9.215286713E0,7.576793976E0
1.788278144E2,2.803669739E-1,-9.873018951E0,7.528294830E0
1.788378404E2,6.047424316E-2,-1.026041336E1,7.844437408E0
1.788478664E2,3.861968994E-1,-1.058074722E1,8.260272675E0
1.788578924E2,8.382568359E-1,-1.036025574E1,8.777297516E0
1.788679184E2,-6.215075684E-1,-1.011222153E1,8.789571991E0
1.788779444E2,-1.174757080E0,-9.750423889E0,7.174131317E0
1.788879694E2,-8.686436462E-1,-9.167236633E0,5.779182129E0
1.788979954E2,-1.052162018E0,-8.204139404E0,5.193001099E0
1.789080214E2,-3.129991150E-1,-7.198530579E0,5.725593567E0
1.789180474E2,-3.558100891E-1,-6.172115021E0,6.205645294E0
1.789280734E2,-7.902067566E-1,-5.226980438E0,5.861510925E0
1.789380994E2,-7.827223206E-1,-4.842579803E0,6.051316223E0
1.789481254E2,-8.357121277E-1,-5.019960938E0,6.484665070E0
1.789581514E2,-8.023315430E-1,-5.647456055E0,7.222480774E0
1.789681774E2,-5.453160095E-1,-6.446344757E0,8.303233337E0
1.789782034E2,5.313949585E-2,-7.175628204E0,8.743767242E0
1.789882294E2,4.974156189E-1,-8.023614807E0,8.912017365E0
1.789982554E2,8.249345398E-1,-8.721014557E0,8.856333160E0
1.790082814E2,8.472381592E-1,-9.039103088E0,7.905660095E0
1.790183074E2,6.243516541E-1,-8.870703278E0,6.993606720E0
1.790283334E2,3.797602844E-1,-7.810757446E0,6.349645844E0
1.790383594E2,7.634124756E-3,-6.496939545E0,5.978866882E0
1.790483854E2,-4.870870972E-1,-5.245092773E0,5.862109680E0
1.790584114E2,-5.281018066E-1,-4.564158783E0,5.904621277E0
1.790684374E2,-3.591032410E-1,-4.562063141E0,5.903872833E0
1.790784634E2,-3.537144470E-1,-5.046156464E0,5.967939606E0
1.790884894E2,-3.939807129E-1,-5.712570648E0,5.803581390E0
1.790985154E2,-4.767585754E-1,-5.987698517E0,5.846542053E0
1.791085414E2,-7.370672607E-1,-5.796695709E0,5.894292755E0
1.791185664E2,-9.327104187E-1,-5.738616486E0,6.096671906E0
1.791285924E2,-8.774752808E-1,-5.968837738E0,6.391109619E0
1.791386184E2,-3.779640198E-1,-6.772666168E0,6.287824402E0
1.791486444E2,-1.125659180E-1,-7.929460602E0,6.149362335E0
1.791586704E2,-4.581971741E-1,-8.856482849E0,6.197113037E0
1.791686964E2,-5.119354248E-1,-9.897867279E0,6.655609589E0
1.791787224E2,-5.478607178E-1,-1.072534653E1,7.429051208E0
1.791887484E2,-4.308041382E-1,-1.081471069E1,7.895930328E0
1.791987744E2,-2.077679443E-1,-1.026086243E1,7.684569855E0
1.792088004E2,-3.367996216E-2,-9.667945404E0,7.620203705E0
1.792188264E2,1.143621826E-1,-9.133107605E0,7.448061676E0
1.792288524E2,4.535568237E-2,-8.758436737E0,6.783593445E0
1.792388784E2,-1.821711731E-1,-8.889114990E0,6.521937561E0
1.792489044E2,-3.453318787E-1,-9.269773407E0,6.910379791E0
1.792589304E2,-2.993774414E-2,-9.225465546E0,7.629185028E0
1.792689564E2,1.039438477E0,-8.300988007E0,8.307723999E0
1.792789824E2,2.465223541E0,-6.749763794E0,8.380772095E0
1.792890084E2,3.678450623E0,-5.370531921E0,7.203170929E0
1.792990344E2,4.375850372E0,-4.809797974E0,6.099366302E0
1.793090604E2,4.824018402E0,-4.743635559E0,5.952072601E0
1.793190864E2,4.922812958E0,-5.252128143E0,6.510411530E0
1.793291124E2,4.360282745E0,-5.912704468E0,7.201224976E0
1.793391384E2,3.356170807E0,-6.400090942E0,7.065756683E0
1.793491644E2,2.347568207E0,-6.212081909E0,6.042783966E0
1.793591894E2,2.082020416E0,-5.616470490E0,4.847070465E0
1.793692154E2,2.247276764E0,-4.664599915E0,3.967200165E0
1.793792414E2,2.342628479E0,-4.028572540E0,3.016676788E0
1.793892674E2,2.241738281E0,-4.193828888E0,2.431693268E0
1.793992934E2,1.892813873E0,-4.246519318E0,2.318528595E0
1.794093194E2,1.864822083E0,-4.452041931E0,2.272424469E0
1.794193454E2,1.875749359E0,-4.768483887E0,2.505190430E0
1.794293714E2,2.001787262E0,-5.264851685E0,3.013533325E0
1.794393974E2,1.816921692E0,-6.136040039E0,3.790268097E0
1.794494234E2,1.671573944E0,-6.930587769E0,4.514611816E0
1.794594494E2,2.108515320E0,-7.239994354E0,5.375621338E0
1.794694754E2,2.449655914E0,-7.249424744E0,6.466552734E0
