"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.340532375E0,5.763920397E-2,-5.505996943E-1,2.670426965E-1
2.350559375E0,8.900059015E-2,-6.607519984E-1,1.767239720E-1
2.360585375E0,9.249800444E-2,-6.592915654E-1,2.900185809E-2
2.370611375E0,7.635977864E-2,-5.759186149E-1,-1.044195890E-1
2.380638375E0,6.257779896E-2,-5.263490677E-1,-2.105941027E-1
2.390664375E0,5.348443240E-2,-5.521958470E-1,-2.839615345E-1
2.400690375E0,7.293311507E-2,-6.315172911E-1,-3.436247706E-1
2.410717375E0,9.804592282E-2,-7.526796460E-1,-3.517314196E-1
2.420743375E0,1.148436964E-1,-9.202970862E-1,-3.052726090E-1
2.430769375E0,1.280953288E-1,-1.121810198E0,-2.555761635E-1
2.440795375E0,1.443400234E-1,-1.263008237E0,-2.427350879E-1
2.450822375E0,1.375598758E-1,-1.315038443E0,-2.384740263E-1
2.460848375E0,1.019492894E-1,-1.264698386E0,-2.404880524E-1
2.470874375E0,7.019854337E-2,-1.098433852E0,-2.812227011E-1
2.480901375E0,3.298859298E-2,-8.837492466E-1,-3.633269072E-1
2.490927375E0,-2.921203151E-3,-6.693615317E-1,-4.813938737E-1
2.500953375E0,-3.146228939E-2,-5.184265971E-1,-5.938313603E-1
2.510980375E0,-2.576232702E-2,-4.854838252E-1,-6.726452112E-1
2.521006375E0,3.761872649E-3,-5.144186616E-1,-6.843783259E-1
2.531032375E0,2.705041878E-2,-4.511827230E-1,-6.246489286E-1
2.541058375E0,7.568573207E-2,-4.027668238E-1,-5.358141065E-1
2.551085375E0,1.589822173E-1,-4.032595158E-1,-5.068778396E-1
2.561111375E0,2.551906705E-1,-2.994216084E-1,-5.861631632E-1
2.571137375E0,3.559029102E-1,-6.145778671E-2,-7.466484308E-1
2.581164375E0,4.565379620E-1,1.752205193E-1,-8.839513063E-1
2.591190375E0,5.089689493E-1,3.838078380E-1,-9.137888551E-1
2.601216375E0,4.747011960E-1,5.630407929E-1,-8.739278316E-1
2.611242375E0,3.854847848E-1,6.989158392E-1,-8.216382861E-1
2.621269375E0,2.431299984E-1,7.467115521E-1,-8.145076632E-1
2.631295375E0,4.982180148E-2,7.141757011E-1,-9.227963686E-1
